timestamp_s,diameter_mm,confidence,stimulus_active
14.921,6.78,62.8,0
14.953,6.79,62.0,0
15.001,6.82,72.6,0
15.034,6.80,62.2,0
15.067,6.85,72.7,0
15.099,6.85,71.9,0
15.131,6.89,71.9,0
15.163,6.84,72.6,0
15.195,6.89,72.8,0
15.227,6.89,72.1,0
15.259,6.86,72.6,0
15.291,6.86,71.9,0
15.339,6.91,71.9,0
15.371,6.88,72.0,0
15.403,6.90,72.4,0
15.436,6.86,71.7,0
15.467,6.88,72.2,0
15.498,6.89,72.7,0
15.531,6.92,72.5,0
15.562,6.86,72.5,0
15.594,6.93,72.6,0
15.627,6.96,72.9,0
15.658,6.96,72.4,0
15.706,6.97,72.7,0
15.739,7.01,72.5,0
15.771,7.00,72.9,0
15.802,6.99,72.0,0
15.835,7.01,72.8,0
15.867,6.99,72.1,0
15.898,7.02,72.2,0
15.930,7.00,71.9,0
15.962,6.98,72.6,0
15.994,6.92,72.4,0
16.043,6.98,72.4,0
16.074,6.92,72.2,0
16.107,6.94,72.3,0
16.138,6.96,73.1,0
16.171,6.95,73.0,0
16.202,6.95,72.1,0
16.234,6.96,72.4,0
16.267,6.92,72.0,0
16.299,6.99,72.9,0
16.331,6.92,72.7,0
16.363,6.96,72.0,0
16.411,7.03,72.7,0
16.442,7.02,72.5,0
16.475,6.99,72.3,0
16.507,6.99,72.0,0
16.539,7.04,72.2,0
16.571,7.04,72.3,0
16.603,7.09,72.2,0
16.635,7.11,72.0,0
16.667,7.10,72.4,0
16.699,7.14,72.5,0
16.747,7.07,71.7,0
16.779,7.09,71.8,0
16.812,7.09,71.4,0
16.843,7.08,72.0,0
16.875,7.10,72.3,0
16.906,7.08,72.3,0
16.940,7.06,72.2,0
16.971,7.09,72.2,0
17.003,7.09,72.3,0
17.035,7.07,72.2,0
17.065,7.10,72.0,0
17.115,7.13,72.4,0
17.146,7.03,71.0,0
17.177,7.10,72.5,0
17.211,7.09,72.3,0
17.242,7.07,72.8,0
17.275,7.09,72.4,0
17.307,7.12,72.5,0
17.338,7.08,72.0,0
17.371,7.07,72.2,0
17.403,7.07,72.1,0
17.435,7.03,72.6,0
17.483,6.98,72.6,0
17.515,6.99,72.5,0
17.546,6.98,72.9,0
17.578,6.91,71.8,0
17.610,6.86,72.3,0
17.642,6.87,72.8,0
17.675,6.91,73.0,0
17.707,6.84,72.6,0
17.738,6.84,72.7,0
17.771,6.85,73.3,0
17.818,6.78,62.5,0
17.850,6.80,62.1,0
17.883,6.77,61.9,0
17.915,6.83,72.7,0
17.946,6.81,72.4,0
17.979,6.83,72.8,0
18.010,6.86,72.7,0
