timestamp,frame_id,detected,center_x,center_y,diameter_maj,diameter_min,area,circularity,aspect_ratio
2025-11-24T15:15:15.959609,25,True,85.22977447509766,46.67814636230469,12.264455795288086,14.672327995300293,131.5,0.796228641001006,1.1963292170377489
2025-11-24T15:15:15.989453,26,False,,,,,,,
2025-11-24T15:15:16.042030,27,False,,,,,,,
2025-11-24T15:15:16.071579,28,False,,,,,,,
2025-11-24T15:15:16.100910,29,True,7.828239440917969,62.82830810546875,9.004499435424805,14.7268705368042,100.5,0.7030013209005638,1.635501118847959
2025-11-24T15:15:16.133145,30,True,63.01227951049805,61.88780975341797,11.205770492553711,13.393946647644043,112.5,0.8186299284462081,1.195272155651611
2025-11-24T15:15:16.165398,31,False,,,,,,,
2025-11-24T15:15:16.196928,32,False,,,,,,,
2025-11-24T15:15:16.231069,33,False,,,,,,,
2025-11-24T15:15:16.263188,34,False,,,,,,,
2025-11-24T15:15:16.295941,35,False,,,,,,,
2025-11-24T15:15:16.329261,36,False,,,,,,,
2025-11-24T15:15:16.357571,37,False,,,,,,,
2025-11-24T15:15:16.408044,38,True,478.1928405761719,35.50104522705078,11.695945739746094,15.333115577697754,135.0,0.7802987733536135,1.310976863941381
2025-11-24T15:15:16.439674,39,False,,,,,,,
2025-11-24T15:15:16.471436,40,False,,,,,,,
2025-11-24T15:15:16.502775,41,False,,,,,,,
2025-11-24T15:15:16.535243,42,True,481.5136413574219,370.6036682128906,10.118579864501953,13.976822853088379,105.0,0.7860593005031817,1.3813026787305647
2025-11-24T15:15:16.570135,43,True,416.29010009765625,345.465576171875,11.439714431762695,14.200460433959961,119.5,0.7622715381375487,1.2413298668716863
2025-11-24T15:15:16.597708,44,False,,,,,,,
2025-11-24T15:15:16.631222,45,True,471.259033203125,368.33294677734375,14.554112434387207,18.38453483581543,178.5,0.7055444265369378,1.2631847978028008
2025-11-24T15:15:16.664290,46,False,,,,,,,
2025-11-24T15:15:16.694548,47,True,477.10565185546875,63.86488342285156,11.79056167602539,15.561850547790527,133.0,0.7849936192291542,1.3198564797449042
2025-11-24T15:15:16.743658,48,True,504.0,2.476958751678467,12.14289379119873,15.51771068572998,105.0,0.7310080644062187,1.2779251531502476
2025-11-24T15:15:16.774570,49,False,,,,,,,
2025-11-24T15:15:16.808937,50,False,,,,,,,
2025-11-24T15:15:16.839279,51,True,425.22052001953125,364.6596984863281,11.291519165039062,14.597521781921387,118.5,0.7558926968142219,1.292786229715854
2025-11-24T15:15:16.871290,52,True,408.5887145996094,356.8667297363281,12.322293281555176,13.383359909057617,123.0,0.7642902799696759,1.08610942112385
2025-11-24T15:15:16.906667,53,True,5.743694305419922,74.7082290649414,12.069433212280273,14.638691902160645,127.0,0.7891452484239744,1.212873084578085
2025-11-24T15:15:16.935128,54,True,340.28271484375,350.0155029296875,10.068343162536621,13.565914154052734,103.0,0.7710867423983591,1.347382840222154
2025-11-24T15:15:16.969512,55,False,,,,,,,
2025-11-24T15:15:16.997418,56,False,,,,,,,
2025-11-24T15:15:17.028889,57,False,,,,,,,
2025-11-24T15:15:17.063007,58,True,339.1255798339844,354.47967529296875,9.6756010055542,14.506166458129883,105.0,0.7261412958027988,1.4992520826923987
2025-11-24T15:15:17.111939,59,False,,,,,,,
2025-11-24T15:15:17.142416,60,False,,,,,,,
2025-11-24T15:15:17.175103,61,True,487.104736328125,379.10491943359375,11.359591484069824,14.939789772033691,105.5,0.7551700386992899,1.3151695180073206
2025-11-24T15:15:17.207432,62,False,,,,,,,
2025-11-24T15:15:17.239954,63,True,300.031982421875,370.3774719238281,11.029424667358398,14.753907203674316,118.5,0.7974350070858466,1.3376859003038144
2025-11-24T15:15:17.272213,64,True,467.4246826171875,362.8384094238281,17.17919921875,19.752498626708984,234.0,0.7302683454104684,1.1497915138767865
2025-11-24T15:15:17.303634,65,True,392.3211669921875,356.9332275390625,11.081442832946777,16.058929443359375,129.0,0.7456188354963319,1.4491730216250156
2025-11-24T15:15:17.334181,66,False,,,,,,,
2025-11-24T15:15:17.367459,67,False,,,,,,,
2025-11-24T15:15:17.398916,68,False,,,,,,,
2025-11-24T15:15:17.447912,69,False,,,,,,,
